,,,9,E,13-Jun,18:00,Republic of Ireland,,0,-,2,,Sweden,,,,"Stade de France, Saint-Denis",,,,,,,,,,,Group C,,,,,P,W,D,L,F,,A,+/-,Pts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,10,E,13-Jun,21:00,Belgium,,2,-,1,,Italy,,,,"Stade de Lyon, Lyon",,,,,,,,,,,,Germany,,,,3,3,0,0,10,-,2,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,11,F,14-Jun,18:00,Austria,,1,-,1,,Hungary,,,,"Stade de Bordeaux, Bordeaus",,,,,,,,,,,,Ukraine,,,,3,2,0,1,5,-,4,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,12,F,14-Jun,21:00,Portugal,,2,-,0,,Iceland,,,,"Stade Geoffroy Guichard, Saint-Etienne",,,,,,,,,,,,Poland,,,,3,1,0,2,4,-,5,-1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,13,B,15-Jun,15:00,Russia,,2,-,1,,Slovakia,,,,"Stade Pierre Mauroy, Lille Metropole",,,,,,,,,,,,Northern Ireland,,,,3,0,0,3,0,-,8,-8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,14,A,15-Jun,18:00,Romania,,1,-,2,,Switzerland,,,,"Parc des Princes, Paris",,,,,,,,,,,Group D,,,,,P,W,D,L,F,,A,+/-,Pts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,15,A,15-Jun,21:00,France,,3,-,1,,Albania,,,,"Stade Velodrome, Marseille",,,,,,,,,,,,Spain,,,,3,3,0,0,6,-,2,4,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,16,B,16-Jun,15:00,England,,2,-,0,,Wales,,,,"Stade Bollaert-Delelis, Lens Agglo",,,,,,,,,,,,Croatia,,,,3,2,0,1,6,-,4,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,17,C,16-Jun,18:00,Ukraine,,2,-,0,,Northern Ireland,,,,"Stade de Lyon, Lyon",,,,,,,,,,,,Turkey,,,,3,1,0,2,4,-,5,-1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,18,C,16-Jun,21:00,Germany,,3,-,1,,Poland,,,,"Stade de France, Saint-Denis",,,,,,,,,,,,Czech Republic,,,,3,0,0,3,2,-,7,-5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
